image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
PXL_20260519_151332564.jpg,PXL_20260519_151333412.jpg,2343,2904,2343,1054,911,0.864326375711575,4.1439762509127,0.25883205536076076,0.2715881370810391,0.20757190132384284,0.9999610142219115,"[[1.1568136020502689e-08, -3.644125829388411e-06, 0.019294283050993045], [5.341511450865509e-06, 3.292091990205256e-07, -0.0010420305981993466], [-0.01983053559058631, -0.0006803677928663998, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151333953.jpg,2343,2638,2343,814,607,0.7457002457002457,7.821503994779716,0.5178724629651876,0.39381188864111255,0.35227192593224693,0.9983394884161477,"[[-9.775730509505739e-08, -1.9583814349368604e-05, 0.050194684148682174], [2.4433574644461326e-05, -5.9598831519365735e-08, -0.020937129680164753], [-0.05144732760502049, 0.01696380071472517, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151334796.jpg,2343,2532,2343,386,311,0.805699481865285,12.655378918928214,0.4334310101628938,0.3603449552044297,0.352956948405134,0.9265795441403573,"[[1.6462592963805577e-06, -3.947080710514165e-05, 0.2908100796602499], [8.694069625655433e-05, -1.3320429028087552e-06, -0.06905403720792475], [-0.30479125833113263, 0.03722431890575307, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151335385.jpg,2343,2786,2343,270,207,0.7666666666666667,19.344588270971386,0.4645299769514126,0.39962792018131577,0.3851217932564059,0.991949010804554,"[[2.1539863338742088e-07, 1.6101855096589602e-07, 0.006051120211961717], [2.177474887295973e-06, 4.078186152018532e-08, -0.0014836092542388757], [-0.007060278087967068, -0.00022874623425037539, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151335958.jpg,2343,2595,2343,153,106,0.6928104575163399,26.24596305142265,0.41973034851540003,0.29831356128345654,0.23673833134877773,0.9814956344665281,"[[2.484523973550413e-07, -5.703385340522581e-07, 0.004937289738185641], [2.902633906347855e-06, -1.2849285153178377e-08, -0.0022573604241376355], [-0.005920774925635272, 0.0004261407945977461, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151336499.jpg,2343,2226,2343,71,39,0.5492957746478874,101.77490326089327,0.4563747364694605,0.17681526747851545,0.12434819234776608,0.7598542147703516,"[[4.172998172176047e-07, -2.515027091822261e-07, 0.004616290817554734], [2.4745005044892724e-06, -3.082664830509363e-08, -0.0018985551093804445], [-0.005783507060754078, 0.0002435570698615441, 0.9999999999999999]]"
PXL_20260519_151332564.jpg,PXL_20260519_151336986.jpg,2343,2048,2343,45,16,0.35555555555555557,105.6294891047124,14.449599944598912,0.13176730159855213,0.06372271313243834,0.44813730502219773,"[[-3.200727488119697e-07, 6.797707305066234e-07, 0.004678604909857147], [3.4521336222110736e-06, -4.839433745454019e-07, -0.0029976274705266013], [-0.005229715875804629, 0.00022223900555418919, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151337624.jpg,2343,2051,2343,35,10,0.2857142857142857,67.3642401148926,51.58023718262332,0.04769808901925429,6.365616535755019e-13,0.43904337339778754,"[[4.257284363500618e-06, -2.7398481291480592e-06, -0.003383569251850931], [1.067396528543176e-05, -2.286314172801587e-05, 0.0027542799253144254], [-0.006308210728268667, 0.009772005878913314, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151338274.jpg,2343,2001,2343,23,10,0.43478260869565216,59.530318643025645,15.905924276516448,0.15008920502219492,8.228296824695789e-13,0.9509992147189675,"[[2.940460134964128e-06, -1.063094952790521e-06, -0.0016219108242779157], [-3.127500937549263e-07, 1.0955591544926363e-06, -0.00038801603073121806], [-0.0016132523354996059, 0.000390174542021819, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151339385.jpg,2343,1803,2343,26,10,0.38461538461538464,101.90397844866143,15.239685000727881,0.07106967346129699,9.77971616244744e-14,0.6928816916912909,"[[-9.155847293125438e-07, -3.9291938103247344e-06, 0.0032563243161984356], [6.886906388626519e-06, -1.0293398730707981e-06, -0.007687485777628674], [-0.0018521228500098768, 0.002219349867544952, 1.0]]"
