step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points
1,PXL_20260519_151419041.jpg,662,648,740,3,1767
2,PXL_20260519_151418492.jpg,788,736,374,4,2141
3,PXL_20260519_151417929.jpg,848,777,446,5,2587
4,PXL_20260519_151542751.jpg,858,772,326,6,2913
5,PXL_20260519_151420760.jpg,888,796,406,7,3319
6,PXL_20260519_151417214.MP.jpg,768,595,211,8,3530
7,PXL_20260519_151421416.jpg,673,518,404,9,3934
8,PXL_20260519_151421924.jpg,831,577,561,10,4495
9,PXL_20260519_151422581.jpg,873,480,400,11,4895
10,PXL_20260519_151423262.jpg,802,335,508,12,5403
11,PXL_20260519_151423904.jpg,992,459,634,13,6037
12,PXL_20260519_151537927.jpg,1066,637,443,14,6480
13,PXL_20260519_151424515.jpg,1074,460,344,15,6824
14,PXL_20260519_151537415.jpg,1103,522,420,16,7244
15,PXL_20260519_151538498.jpg,1012,539,258,17,7502
16,PXL_20260519_151536890.jpg,937,287,386,18,7888
17,PXL_20260519_151536343.jpg,879,220,420,19,8308
18,PXL_20260519_151539020.jpg,705,173,170,20,8478
19,PXL_20260519_151535845.jpg,696,138,412,21,8890
20,PXL_20260519_151542138.jpg,647,332,136,22,9026
21,PXL_20260519_151539651.jpg,655,193,558,23,9584
22,PXL_20260519_151425140.jpg,647,174,163,24,9747
23,PXL_20260519_151535222.jpg,611,91,330,25,10077
24,PXL_20260519_151534634.jpg,618,104,551,26,10628
25,PXL_20260519_151534012.jpg,705,150,458,27,11086
26,PXL_20260519_151533465.jpg,859,302,679,28,11765
27,PXL_20260519_151532902.jpg,902,216,404,29,12169
28,PXL_20260519_151532156.jpg,622,56,318,30,12487
29,PXL_20260519_151541558.jpg,623,213,322,31,12809
30,PXL_20260519_151540979.jpg,643,117,252,32,13061
31,PXL_20260519_151540345.jpg,677,158,487,33,13548
32,PXL_20260519_151531571.jpg,621,20,224,34,13772
33,PXL_20260519_151531026.jpg,634,29,437,35,14209
34,PXL_20260519_151425722.jpg,592,120,219,36,14428
35,PXL_20260519_151530468.jpg,611,15,251,37,14679
36,PXL_20260519_151543617.jpg,580,375,169,38,14848
37,PXL_20260519_151426364.jpg,538,116,371,39,15219
38,PXL_20260519_151529958.jpg,545,28,232,40,15451
39,PXL_20260519_151510420.jpg,481,62,96,41,15547
40,PXL_20260519_151426845.jpg,485,54,216,42,15763
41,PXL_20260519_151511099.jpg,472,18,123,43,15886
42,PXL_20260519_151509720.jpg,523,46,432,44,16318
43,PXL_20260519_151509090.jpg,597,125,509,45,16827
44,PXL_20260519_151508421.jpg,748,261,479,46,17306
45,PXL_20260519_151507657.jpg,717,209,335,47,17641
46,PXL_20260519_151507055.jpg,636,172,368,48,18009
47,PXL_20260519_151506463.jpg,549,84,331,49,18340
48,PXL_20260519_151511835.jpg,607,31,159,50,18499
49,PXL_20260519_151505804.jpg,636,179,430,51,18929
50,PXL_20260519_151505231.jpg,756,207,328,52,19257
51,PXL_20260519_151504382.jpg,714,190,219,53,19476
52,PXL_20260519_151427448.jpg,501,51,155,54,19631
53,PXL_20260519_151512328.jpg,606,24,211,55,19842
54,PXL_20260519_151503056.jpg,501,45,127,56,19969
55,PXL_20260519_151502256.jpg,453,82,245,57,20214
56,PXL_20260519_151529393.jpg,503,52,338,58,20552
57,PXL_20260519_151501350.jpg,574,61,117,59,20669
58,PXL_20260519_151528816.jpg,559,139,409,60,21078
59,PXL_20260519_151500711.jpg,527,36,153,61,21231
60,PXL_20260519_151500122.jpg,571,46,214,62,21445
61,PXL_20260519_151459388.jpg,582,90,276,63,21721
62,PXL_20260519_151458692.jpg,629,124,324,64,22045
63,PXL_20260519_151458064.jpg,661,133,276,65,22321
64,PXL_20260519_151456540.jpg,564,63,164,66,22485
65,PXL_20260519_151457235.jpg,527,82,324,67,22809
66,PXL_20260519_151455831.jpg,496,26,118,68,22927
67,PXL_20260519_151544722.jpg,439,145,155,69,23082
68,PXL_20260519_151544162.jpg,503,279,364,70,23446
69,PXL_20260519_151545425.jpg,505,202,237,71,23683
70,PXL_20260519_151455274.jpg,463,48,153,72,23836
71,PXL_20260519_151545912.jpg,432,135,219,73,24055
72,PXL_20260519_151546493.jpg,398,40,91,74,24146
73,PXL_20260519_151547067.jpg,361,26,154,75,24300
74,PXL_20260519_151547575.jpg,380,45,233,76,24533
