step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points,retriangulated
1,PXL_20260519_151419041.jpg,662,648,727,3,1757,0
2,PXL_20260519_151418492.jpg,782,745,370,4,2127,0
3,PXL_20260519_151417929.jpg,842,806,393,5,2520,0
4,PXL_20260519_151542751.jpg,842,795,325,6,2845,0
5,PXL_20260519_151420760.jpg,884,820,394,7,3239,0
6,PXL_20260519_151417214.MP.jpg,743,665,192,8,3431,0
7,PXL_20260519_151421416.jpg,668,596,394,9,3825,0
8,PXL_20260519_151421924.jpg,832,734,511,10,4336,0
9,PXL_20260519_151422581.jpg,875,727,336,11,4672,0
10,PXL_20260519_151423262.jpg,820,649,402,12,5074,0
11,PXL_20260519_151423904.jpg,998,816,400,13,5474,0
12,PXL_20260519_151537927.jpg,1046,846,252,14,5726,0
13,PXL_20260519_151424515.jpg,1063,889,273,15,5999,0
14,PXL_20260519_151537415.jpg,1092,887,299,16,6298,0
15,PXL_20260519_151538498.jpg,1001,816,261,17,6559,0
16,PXL_20260519_151536890.jpg,947,723,220,18,6779,0
17,PXL_20260519_151536343.jpg,904,653,341,19,7120,0
18,PXL_20260519_151539020.jpg,740,489,178,20,7298,0
19,PXL_20260519_151535845.jpg,722,483,296,21,7594,0
20,PXL_20260519_151539651.jpg,696,462,389,22,7983,0
21,PXL_20260519_151542138.jpg,673,485,156,23,8139,0
22,PXL_20260519_151425140.jpg,670,433,171,24,8310,0
23,PXL_20260519_151535222.jpg,676,384,270,25,8580,0
24,PXL_20260519_151534634.jpg,661,339,491,26,9071,0
25,PXL_20260519_151534012.jpg,765,443,484,27,9555,0
26,PXL_20260519_151533465.jpg,917,604,242,28,9797,0
27,PXL_20260519_151532902.jpg,863,508,377,29,10174,0
28,PXL_20260519_151541558.jpg,657,401,273,30,10447,0
29,PXL_20260519_151540979.jpg,688,426,322,31,10769,0
30,PXL_20260519_151540345.jpg,768,514,349,32,11118,0
31,PXL_20260519_151532156.jpg,698,257,231,33,11349,0
32,PXL_20260519_151425722.jpg,626,375,264,34,11613,0
33,PXL_20260519_151543617.jpg,583,399,153,35,11766,0
34,PXL_20260519_151426364.jpg,591,329,258,36,12024,0
35,PXL_20260519_151531571.jpg,620,224,369,37,12393,0
36,PXL_20260519_151531026.jpg,748,336,522,38,12915,0
37,PXL_20260519_151530468.jpg,707,342,299,39,13214,0
38,PXL_20260519_151529958.jpg,648,312,347,40,13561,0
39,PXL_20260519_151529393.jpg,606,290,285,41,13846,0
40,PXL_20260519_151528816.jpg,645,335,402,42,14248,0
41,PXL_20260519_151426845.jpg,526,182,222,43,14470,0
42,PXL_20260519_151510420.jpg,510,189,97,44,14567,0
43,PXL_20260519_151509720.jpg,513,183,517,45,15084,0
44,PXL_20260519_151509090.jpg,644,298,510,46,15594,0
45,PXL_20260519_151508421.jpg,814,490,445,47,16039,0
46,PXL_20260519_151507657.jpg,766,430,340,48,16379,0
47,PXL_20260519_151511099.jpg,741,330,249,49,16628,0
48,PXL_20260519_151507055.jpg,743,379,323,50,16951,0
49,PXL_20260519_151511835.jpg,653,260,300,51,17251,0
50,PXL_20260519_151506463.jpg,699,388,319,52,17570,0
51,PXL_20260519_151505804.jpg,733,383,348,53,17918,0
52,PXL_20260519_151505231.jpg,825,480,340,54,18258,0
53,PXL_20260519_151504382.jpg,805,457,294,55,18552,0
54,PXL_20260519_151512328.jpg,748,280,177,56,18729,0
55,PXL_20260519_151427448.jpg,538,194,229,57,18958,0
56,PXL_20260519_151503056.jpg,629,234,162,58,19120,0
57,PXL_20260519_151544722.jpg,444,227,134,59,19254,0
58,PXL_20260519_151502256.jpg,598,211,395,60,19649,0
59,PXL_20260519_151500711.jpg,653,205,292,61,19941,0
60,PXL_20260519_151501350.jpg,909,486,460,62,20401,0
61,PXL_20260519_151500122.jpg,862,442,388,63,20789,0
62,PXL_20260519_151459388.jpg,926,497,379,64,21168,0
63,PXL_20260519_151458692.jpg,891,445,324,65,21492,0
64,PXL_20260519_151458064.jpg,869,437,341,66,21833,0
65,PXL_20260519_151456540.jpg,688,272,187,67,22020,0
66,PXL_20260519_151457235.jpg,678,364,359,68,22379,0
67,PXL_20260519_151544162.jpg,517,324,317,69,22696,0
68,PXL_20260519_151455831.jpg,629,242,301,70,22997,0
69,PXL_20260519_151545425.jpg,523,287,197,71,23194,0
70,PXL_20260519_151545912.jpg,462,216,176,72,23370,0
71,PXL_20260519_151546493.jpg,421,189,189,73,23559,0
72,PXL_20260519_151455274.jpg,621,214,273,74,23832,0
73,PXL_20260519_151547575.jpg,414,151,145,75,23977,0
74,PXL_20260519_151547067.jpg,480,230,252,76,24229,0
75,PXL_20260519_151548141.jpg,389,119,195,77,24424,0
76,PXL_20260519_151548688.jpg,384,136,163,78,24587,0
