step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points,retriangulated
1,PXL_20260519_151419041.jpg,662,648,727,3,1757,0
2,PXL_20260519_151418492.jpg,782,745,370,4,2127,0
3,PXL_20260519_151417929.jpg,842,806,393,5,2520,0
4,PXL_20260519_151542751.jpg,842,795,325,6,2845,0
5,PXL_20260519_151420760.jpg,884,820,394,7,3239,3216
6,PXL_20260519_151417214.MP.jpg,743,675,192,8,3431,0
7,PXL_20260519_151421416.jpg,667,598,394,9,3825,0
8,PXL_20260519_151421924.jpg,834,731,511,10,4336,0
9,PXL_20260519_151422581.jpg,879,739,332,11,4668,0
10,PXL_20260519_151423262.jpg,820,652,392,12,5060,4990
11,PXL_20260519_151423904.jpg,997,873,334,13,5394,0
12,PXL_20260519_151537927.jpg,1035,879,251,14,5645,0
13,PXL_20260519_151424515.jpg,1061,895,278,15,5923,0
14,PXL_20260519_151537415.jpg,1082,919,301,16,6224,0
15,PXL_20260519_151538498.jpg,1001,826,262,17,6486,6259
16,PXL_20260519_151536890.jpg,949,781,207,18,6693,0
17,PXL_20260519_151536343.jpg,919,715,327,19,7020,0
18,PXL_20260519_151539020.jpg,743,560,162,20,7182,0
19,PXL_20260519_151535845.jpg,734,554,274,21,7456,0
20,PXL_20260519_151539651.jpg,704,508,402,22,7858,7538
21,PXL_20260519_151542138.jpg,677,503,144,23,8002,0
22,PXL_20260519_151425140.jpg,673,474,156,24,8158,0
23,PXL_20260519_151535222.jpg,687,450,259,25,8417,0
24,PXL_20260519_151534634.jpg,679,426,465,26,8882,0
25,PXL_20260519_151534012.jpg,780,503,467,27,9349,8973
26,PXL_20260519_151533465.jpg,941,663,185,28,9534,0
27,PXL_20260519_151532902.jpg,887,557,363,29,9897,0
28,PXL_20260519_151532156.jpg,682,312,238,30,10135,0
29,PXL_20260519_151541558.jpg,679,412,262,31,10397,0
30,PXL_20260519_151540979.jpg,697,443,324,32,10721,10246
31,PXL_20260519_151540345.jpg,783,541,313,33,11034,0
32,PXL_20260519_151531571.jpg,654,238,341,34,11375,0
33,PXL_20260519_151531026.jpg,736,330,523,35,11898,0
34,PXL_20260519_151530468.jpg,711,356,288,36,12186,0
35,PXL_20260519_151425722.jpg,647,397,263,37,12449,11922
36,PXL_20260519_151529958.jpg,651,319,339,38,12788,0
37,PXL_20260519_151529393.jpg,602,256,295,39,13083,0
38,PXL_20260519_151528816.jpg,648,368,119,40,13202,0
39,PXL_20260519_151426364.jpg,602,349,247,41,13449,0
40,PXL_20260519_151543617.jpg,598,413,140,42,13589,13018
41,PXL_20260519_151426845.jpg,523,251,222,43,13811,0
42,PXL_20260519_151510420.jpg,521,175,84,44,13895,0
43,PXL_20260519_151511099.jpg,527,206,346,45,14241,0
44,PXL_20260519_151509720.jpg,627,316,449,46,14690,0
45,PXL_20260519_151508421.jpg,686,383,457,47,15147,14529
46,PXL_20260519_151509090.jpg,851,500,455,48,15602,0
47,PXL_20260519_151507657.jpg,812,492,327,49,15929,0
48,PXL_20260519_151507055.jpg,748,418,326,50,16255,0
49,PXL_20260519_151511835.jpg,653,293,305,51,16560,0
50,PXL_20260519_151506463.jpg,709,395,299,52,16859,16167
51,PXL_20260519_151505804.jpg,738,424,346,53,17205,0
52,PXL_20260519_151505231.jpg,827,496,326,54,17531,0
53,PXL_20260519_151504382.jpg,813,474,276,55,17807,0
54,PXL_20260519_151503056.jpg,622,240,159,56,17966,0
55,PXL_20260519_151512328.jpg,758,325,207,57,18173,17435
56,PXL_20260519_151427448.jpg,551,189,219,58,18392,0
57,PXL_20260519_151501350.jpg,603,182,156,59,18548,0
58,PXL_20260519_151502256.jpg,672,245,468,60,19016,0
59,PXL_20260519_151500711.jpg,766,376,384,61,19400,0
60,PXL_20260519_151500122.jpg,843,445,382,62,19782,18998
61,PXL_20260519_151459388.jpg,911,486,385,63,20167,0
62,PXL_20260519_151458692.jpg,889,486,326,64,20493,0
63,PXL_20260519_151458064.jpg,876,407,352,65,20845,0
64,PXL_20260519_151456540.jpg,684,244,200,66,21045,0
65,PXL_20260519_151457235.jpg,677,369,332,67,21377,20527
66,PXL_20260519_151544722.jpg,462,227,133,68,21510,0
67,PXL_20260519_151455831.jpg,616,225,213,69,21723,0
68,PXL_20260519_151544162.jpg,511,325,323,70,22046,0
69,PXL_20260519_151545425.jpg,524,289,200,71,22246,0
70,PXL_20260519_151545912.jpg,462,211,173,72,22419,21533
71,PXL_20260519_151546493.jpg,421,196,142,73,22561,0
72,PXL_20260519_151455274.jpg,596,183,211,74,22772,0
73,PXL_20260519_151547067.jpg,417,182,231,75,23003,0
74,PXL_20260519_151547575.jpg,469,179,168,76,23171,0
75,PXL_20260519_151548141.jpg,393,151,151,77,23322,22393
76,PXL_20260519_151548688.jpg,378,130,161,78,23483,0
