step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points
1,PXL_20260519_151419041.jpg,665,652,735,3,1771
2,PXL_20260519_151418492.jpg,788,745,370,4,2141
3,PXL_20260519_151417929.jpg,852,803,432,5,2573
4,PXL_20260519_151542751.jpg,860,795,328,6,2901
5,PXL_20260519_151420760.jpg,890,817,405,7,3306
6,PXL_20260519_151417214.MP.jpg,768,674,214,8,3520
7,PXL_20260519_151421416.jpg,677,593,399,9,3919
8,PXL_20260519_151421924.jpg,851,735,519,10,4438
9,PXL_20260519_151422581.jpg,890,756,383,11,4821
10,PXL_20260519_151423262.jpg,849,686,390,12,5211
11,PXL_20260519_151423904.jpg,1026,866,458,13,5669
12,PXL_20260519_151537927.jpg,1104,914,280,14,5949
13,PXL_20260519_151537415.jpg,1105,868,388,15,6337
14,PXL_20260519_151424515.jpg,1166,983,256,16,6593
15,PXL_20260519_151538498.jpg,1081,854,291,17,6884
16,PXL_20260519_151536890.jpg,1007,729,237,18,7121
17,PXL_20260519_151536343.jpg,975,636,362,19,7483
18,PXL_20260519_151539020.jpg,780,527,187,20,7670
19,PXL_20260519_151535845.jpg,780,454,346,21,8016
20,PXL_20260519_151539651.jpg,736,477,455,22,8471
21,PXL_20260519_151542138.jpg,712,490,177,23,8648
22,PXL_20260519_151535222.jpg,710,306,276,24,8924
23,PXL_20260519_151425140.jpg,705,468,182,25,9106
24,PXL_20260519_151534634.jpg,711,319,510,26,9616
25,PXL_20260519_151534012.jpg,786,407,484,27,10100
26,PXL_20260519_151533465.jpg,956,575,448,28,10548
27,PXL_20260519_151532902.jpg,951,509,359,29,10907
28,PXL_20260519_151532156.jpg,710,209,243,30,11150
29,PXL_20260519_151541558.jpg,689,394,294,31,11444
30,PXL_20260519_151540979.jpg,724,435,336,32,11780
31,PXL_20260519_151540345.jpg,807,511,343,33,12123
32,PXL_20260519_151531571.jpg,674,37,270,34,12393
33,PXL_20260519_151531026.jpg,700,107,699,35,13092
34,PXL_20260519_151530468.jpg,722,168,369,36,13461
35,PXL_20260519_151425722.jpg,661,380,270,37,13731
36,PXL_20260519_151529958.jpg,665,140,337,38,14068
37,PXL_20260519_151426364.jpg,613,320,263,39,14331
38,PXL_20260519_151543617.jpg,612,406,151,40,14482
39,PXL_20260519_151529393.jpg,602,156,333,41,14815
40,PXL_20260519_151528816.jpg,638,156,427,42,15242
41,PXL_20260519_151426845.jpg,544,229,241,43,15483
42,PXL_20260519_151510420.jpg,534,26,36,44,15519
43,PXL_20260519_151511099.jpg,505,19,273,45,15792
44,PXL_20260519_151509720.jpg,596,155,284,46,16076
45,PXL_20260519_151509090.jpg,598,91,142,47,16218
