step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points
1,PXL_20260519_151333953.jpg,558,446,746,3,1692
2,PXL_20260519_151334796.jpg,572,357,353,4,2045
3,PXL_20260519_151335385.jpg,598,364,663,5,2708
4,PXL_20260519_151335958.jpg,665,398,462,6,3170
5,PXL_20260519_151336499.jpg,538,316,414,7,3584
6,PXL_20260519_151336986.jpg,531,353,468,8,4052
7,PXL_20260519_151337624.jpg,604,437,379,9,4431
8,PXL_20260519_151338274.jpg,634,487,438,10,4869
9,PXL_20260519_151339385.jpg,460,345,227,11,5096
10,PXL_20260519_151340051.jpg,291,189,205,12,5301
11,PXL_20260519_151340541.jpg,343,244,354,13,5655
12,PXL_20260519_151341198.jpg,450,331,296,14,5951
13,PXL_20260519_151341611.jpg,508,370,285,15,6236
14,PXL_20260519_151342144.jpg,434,289,244,16,6480
15,PXL_20260519_151342694.jpg,371,229,196,17,6676
16,PXL_20260519_151343308.jpg,305,168,194,18,6870
17,PXL_20260519_151343810.jpg,308,183,215,19,7085
18,PXL_20260519_151344466.jpg,288,165,169,20,7254
