step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points
1,PXL_20260519_151444118.jpg,314,283,445,3,1040
2,PXL_20260519_151446518.jpg,407,374,447,4,1487
3,PXL_20260519_151447221.jpg,328,268,261,5,1748
4,PXL_20260519_151443383.jpg,331,217,263,6,2011
5,PXL_20260519_151442719.jpg,385,220,406,7,2417
6,PXL_20260519_151441891.jpg,425,267,629,8,3046
7,PXL_20260519_151441253.jpg,655,493,578,9,3624
8,PXL_20260519_151440511.jpg,529,322,251,10,3875
9,PXL_20260519_151439884.jpg,484,294,436,11,4311
10,PXL_20260519_151439268.jpg,474,283,327,12,4638
11,PXL_20260519_151447801.jpg,353,223,338,13,4976
12,PXL_20260519_151448398.jpg,296,174,253,14,5229
13,PXL_20260519_151438491.jpg,302,161,178,15,5407
14,PXL_20260519_151433706.jpg,380,200,375,16,5782
15,PXL_20260519_151433122.jpg,431,211,390,17,6172
16,PXL_20260519_151432557.jpg,530,320,119,18,6291
17,PXL_20260519_151437884.jpg,497,334,406,19,6697
18,PXL_20260519_151434389.jpg,502,300,184,20,6881
19,PXL_20260519_151434940.jpg,511,257,279,21,7160
20,PXL_20260519_151437205.jpg,409,211,228,22,7388
21,PXL_20260519_151435528.jpg,331,121,189,23,7577
22,PXL_20260519_151448956.jpg,310,172,285,24,7862
23,PXL_20260519_151449499.jpg,343,200,267,25,8129
24,PXL_20260519_151450054.jpg,339,217,276,26,8405
25,PXL_20260519_151450616.jpg,272,148,271,27,8676
26,PXL_20260519_151436270.jpg,209,76,95,28,8771
27,PXL_20260519_151451174.jpg,196,95,89,29,8860
