step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points,retriangulated
1,PXL_20260519_151419041.jpg,662,648,727,3,1757,0
2,PXL_20260519_151418492.jpg,782,745,370,4,2127,0
3,PXL_20260519_151417929.jpg,842,806,393,5,2520,0
4,PXL_20260519_151542751.jpg,842,795,325,6,2845,0
5,PXL_20260519_151420760.jpg,884,820,394,7,3239,3216
6,PXL_20260519_151417214.MP.jpg,743,675,192,8,3431,0
7,PXL_20260519_151421416.jpg,668,601,393,9,3824,0
8,PXL_20260519_151421924.jpg,833,738,507,10,4331,0
9,PXL_20260519_151422581.jpg,875,760,342,11,4673,0
10,PXL_20260519_151423262.jpg,826,684,370,12,5043,4966
11,PXL_20260519_151423904.jpg,1000,883,226,13,5269,0
12,PXL_20260519_151537927.jpg,1013,874,293,14,5562,0
13,PXL_20260519_151424515.jpg,1040,888,291,15,5853,0
14,PXL_20260519_151537415.jpg,1061,919,305,16,6158,0
15,PXL_20260519_151538498.jpg,1001,811,231,17,6389,6127
16,PXL_20260519_151536890.jpg,938,771,220,18,6609,0
17,PXL_20260519_151536343.jpg,918,716,314,19,6923,0
18,PXL_20260519_151539020.jpg,734,554,173,20,7096,0
19,PXL_20260519_151535845.jpg,731,536,282,21,7378,0
20,PXL_20260519_151539651.jpg,702,495,388,22,7766,7447
21,PXL_20260519_151542138.jpg,674,499,145,23,7911,0
22,PXL_20260519_151425140.jpg,669,475,163,24,8074,0
23,PXL_20260519_151535222.jpg,689,445,266,25,8340,0
24,PXL_20260519_151534634.jpg,685,428,462,26,8802,0
25,PXL_20260519_151534012.jpg,780,492,467,27,9269,8892
26,PXL_20260519_151533465.jpg,940,667,160,28,9429,0
27,PXL_20260519_151532902.jpg,876,550,374,29,9803,0
28,PXL_20260519_151532156.jpg,682,309,213,30,10016,0
29,PXL_20260519_151541558.jpg,669,420,260,31,10276,0
30,PXL_20260519_151540979.jpg,685,423,339,32,10615,10187
31,PXL_20260519_151540345.jpg,774,552,327,33,10942,0
32,PXL_20260519_151531571.jpg,644,278,346,34,11288,0
33,PXL_20260519_151531026.jpg,745,364,512,35,11800,0
34,PXL_20260519_151530468.jpg,709,359,282,36,12082,0
35,PXL_20260519_151425722.jpg,651,403,261,37,12343,11848
36,PXL_20260519_151529958.jpg,652,320,337,38,12680,0
37,PXL_20260519_151529393.jpg,606,319,280,39,12960,0
38,PXL_20260519_151528816.jpg,650,358,413,40,13373,0
39,PXL_20260519_151426364.jpg,603,350,250,41,13623,0
40,PXL_20260519_151543617.jpg,601,410,138,42,13761,13224
41,PXL_20260519_151426845.jpg,530,253,214,43,13975,0
42,PXL_20260519_151510420.jpg,522,216,77,44,14052,0
43,PXL_20260519_151511099.jpg,520,202,360,45,14412,0
44,PXL_20260519_151509720.jpg,635,317,445,46,14857,0
45,PXL_20260519_151508421.jpg,694,383,453,47,15310,14707
46,PXL_20260519_151509090.jpg,855,506,450,48,15760,0
47,PXL_20260519_151507657.jpg,812,494,317,49,16077,0
48,PXL_20260519_151507055.jpg,750,411,328,50,16405,0
49,PXL_20260519_151506463.jpg,659,331,287,51,16692,0
50,PXL_20260519_151511835.jpg,727,363,312,52,17004,16344
51,PXL_20260519_151505804.jpg,735,397,360,53,17364,0
52,PXL_20260519_151505231.jpg,836,487,343,54,17707,0
53,PXL_20260519_151504382.jpg,830,486,280,55,17987,0
54,PXL_20260519_151512328.jpg,757,343,187,56,18174,0
55,PXL_20260519_151427448.jpg,543,212,219,57,18393,17676
56,PXL_20260519_151503056.jpg,639,244,162,58,18555,0
57,PXL_20260519_151544722.jpg,450,228,133,59,18688,0
58,PXL_20260519_151544162.jpg,505,325,322,60,19010,0
59,PXL_20260519_151502256.jpg,598,208,404,61,19414,0
60,PXL_20260519_151501350.jpg,790,345,389,62,19803,19042
61,PXL_20260519_151500711.jpg,849,414,394,63,20197,0
62,PXL_20260519_151500122.jpg,901,399,367,64,20564,0
63,PXL_20260519_151459388.jpg,925,426,392,65,20956,0
64,PXL_20260519_151458692.jpg,887,408,367,66,21323,0
65,PXL_20260519_151458064.jpg,870,400,365,67,21688,20844
66,PXL_20260519_151456540.jpg,687,221,186,68,21874,0
67,PXL_20260519_151457235.jpg,670,368,344,69,22218,0
68,PXL_20260519_151545425.jpg,525,293,196,70,22414,0
69,PXL_20260519_151455831.jpg,623,215,279,71,22693,0
70,PXL_20260519_151545912.jpg,462,214,173,72,22866,21966
71,PXL_20260519_151546493.jpg,418,192,142,73,23008,0
72,PXL_20260519_151547067.jpg,427,178,227,74,23235,0
73,PXL_20260519_151547575.jpg,467,216,185,75,23420,0
