step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points
1,PXL_20260519_151334796.jpg,386,377,677,3,1380
2,PXL_20260519_151333953.jpg,531,487,390,4,1770
3,PXL_20260519_151333412.jpg,686,627,639,5,2409
4,PXL_20260519_151332564.jpg,828,771,361,6,2770
5,PXL_20260519_151336499.jpg,542,495,344,7,3114
6,PXL_20260519_151336986.jpg,551,482,394,8,3508
7,PXL_20260519_151337624.jpg,614,542,336,9,3844
8,PXL_20260519_151338274.jpg,636,574,394,10,4238
9,PXL_20260519_151339385.jpg,459,394,199,11,4437
10,PXL_20260519_151340051.jpg,291,216,185,12,4622
11,PXL_20260519_151340541.jpg,344,260,337,13,4959
12,PXL_20260519_151341198.jpg,444,361,233,14,5192
13,PXL_20260519_151341611.jpg,484,384,263,15,5455
14,PXL_20260519_151342144.jpg,424,312,235,16,5690
15,PXL_20260519_151342694.jpg,355,259,185,17,5875
16,PXL_20260519_151343308.jpg,301,196,172,18,6047
17,PXL_20260519_151343810.jpg,300,197,206,19,6253
18,PXL_20260519_151344466.jpg,289,176,159,20,6412
